Response_id,Height,Weight,Earnings,Relationship,GPA
1172053,65,130,2000,No,3.8
1172054,65,130,2000,No,3.8
1172093,74,150,4000,Yes,3.2
1172203,68,154,12000,Sort of/ Not sure,2.36
1172424,70,145,12000,No,
1172428,67,160,2000,Yes,2.4
1172575,63,118,300,No,
1172585,64,129,5000,Yes,3.4
1172590,69,145,3000,No,3.91
1172591,70,195,8000,No,3.4
1172596,79,215,5000,No,3.79
1172599,73,214,0,No,
1172624,72,170,500,No,1.9
1172633,72,174,4000,No,3.41
1173135,72,175,5000,No,3.46
1173306,67,145,7500,No,
